model prior treeSize rep method collision trueNmus estNmus
s0d100 01 sub250 r05 Problin 0.040868105810249335 26 25
s0d100 01 sub250 r05 Problin 0.11625526802607089 18 18
s0d100 01 sub250 r05 Problin 0.07084745770929712 27 29
s0d100 01 sub250 r05 Problin 0.0923300846928096 29 27
s0d100 01 sub250 r05 Problin 0.6501005458201663 34 34
s0d100 01 sub250 r05 Problin 0.11717390320470354 28 31
s0d100 01 sub250 r05 Problin 0.8936718904979173 10 9
s0d100 01 sub250 r05 Problin 0.6501005458201663 11 13
s0d100 01 sub250 r05 Problin 0.6544421487603302 44 35
s0d100 01 sub250 r05 Problin 0.07435238519555733 35 39
s0d100 01 sub250 r05 Problin 0.8276643990929707 35 36
s0d100 01 sub250 r05 Problin 0.07391235078303943 24 23
s0d100 01 sub250 r05 Problin 0.1408822513476628 35 34
s0d100 01 sub250 r05 Problin 0.506172839506173 26 22
s0d100 01 sub250 r05 Problin 0.1056547619047619 33 30
s0d100 01 sub250 r05 Problin 0.04998488191013573 29 30
s0d100 01 sub250 r05 Problin 0.11375227912395963 41 43
s0d100 01 sub250 r05 Problin 0.0831366916316132 30 33
s0d100 01 sub250 r05 Problin 0.24000000000000007 31 28
s0d100 01 sub250 r05 Problin 0.07281498073244905 25 27
s0d100 01 sub250 r05 Problin 0.08088172664770402 45 45
s0d100 01 sub250 r05 Problin 0.06043714314909277 26 24
s0d100 01 sub250 r05 Problin 0.093643069452796 17 16
s0d100 01 sub250 r05 Problin 0.6573781480417507 33 33
s0d100 01 sub250 r05 Problin 0.06881374304835514 39 37
s0d100 01 sub250 r05 Problin 0.6302237757872725 12 13
s0d100 01 sub250 r05 Startle 0.7373002754820938 23 20
s0d100 01 sub250 r05 Startle 0.6121810018903592 0 1
s0d100 01 sub250 r05 Startle 1.0 42 47
s0d100 01 sub250 r05 Startle 0.8003525076109598 29 25
s0d100 01 sub250 r05 Startle 0.040868105810249335 26 25
s0d100 01 sub250 r05 Startle 0.11625526802607089 18 18
