num_chars,alphabet_size,seed_prior,num_cells,seq_prior,algorithm,memory_usage,cpu_usage,runtime
30,100,6,250,5,greedy,3696,0.0,0.0
30,100,7,250,1,greedy,3688,0.0,0.0
30,100,7,250,2,greedy,3576,0.0,0.0
30,100,7,250,3,greedy,3680,0.0,0.0
30,100,7,250,4,greedy,3680,0.0,0.0
30,100,7,250,5,greedy,3580,0.0,0.0
30,100,8,250,1,greedy,3888,0.0,0.0
30,100,8,250,2,greedy,3676,0.0,0.0
30,100,8,250,3,greedy,3552,0.0,0.0
30,100,8,250,4,greedy,3684,0.0,0.0
30,100,8,250,5,greedy,3744,0.0,0.0
30,100,9,250,1,greedy,3744,0.0,0.0
30,100,9,250,2,greedy,3896,0.0,0.0
30,100,9,250,3,greedy,3680,0.0,0.0
30,100,9,250,4,greedy,3684,0.0,0.0
30,100,9,250,5,greedy,3680,0.0,0.0
30,100,10,250,1,greedy,3568,0.0,0.0
30,100,10,250,2,greedy,3676,0.0,0.0
30,100,10,250,3,greedy,3680,0.0,0.0
30,100,10,250,4,greedy,3684,0.0,0.0
30,100,10,250,5,greedy,3700,0.0,0.0
30,30,2,250,3,greedy,124116,25.0,0.0
30,30,3,250,1,greedy,124252,33.33,0.0
30,30,3,250,2,greedy,124560,33.33,0.0
30,30,3,250,3,greedy,124528,50.0,0.0
30,30,3,250,4,greedy,124132,50.0,0.0
30,30,3,250,5,greedy,124132,50.0,0.0
30,30,4,250,1,greedy,124424,50.0,0.0
30,30,4,250,2,greedy,124536,50.0,0.0
30,30,4,250,3,greedy,124020,50.0,0.0
30,30,4,250,4,greedy,124032,50.0,0.0
30,30,4,250,5,greedy,124680,50.0,0.0
30,30,5,250,1,greedy,124680,50.0,0.0
30,30,5,250,2,greedy,124128,50.0,0.0
30,30,5,250,3,greedy,124384,50.0,0.0
30,30,5,250,4,greedy,124464,50.0,0.0
30,30,5,250,5,greedy,124288,50.0,0.0
30,30,6,250,1,greedy,124240,50.0,0.0
30,30,6,250,2,greedy,124412,50.0,0.0
