Method,Sample,Runtime,TotalSeconds
scmail,s0d100p07_sub250_r01,158m4.166s,9484.17
scmail,s0d100p07_sub250_r02,95m52.612s,5752.61
scmail,s0d100p07_sub250_r03,58m21.053s,3501.05
scmail,s0d100p07_sub250_r04,162m20.213s,9740.21
scmail,s0d100p07_sub250_r05,150m40.095s,9040.09
scmail,s0d100p08_sub250_r01,217m5.682s,13025.7
scmail,s0d100p08_sub250_r02,147m26.411s,8846.41
scmail,s0d100p08_sub250_r03,112m2.118s,6722.12
scmail,s0d100p08_sub250_r04,227m57.615s,13677.6
scmail,s0d100p01_sub250_r04,192m57.785s,11577.8
scmail,s0d100p08_sub250_r05,178m46.049s,10726
scmail,s0d100p09_sub250_r01,51m16.744s,3076.74
scmail,s0d100p09_sub250_r02,54m14.367s,3254.37
scmail,s0d100p09_sub250_r03,79m56.022s,4796.02
scmail,s0d100p09_sub250_r04,188m55.065s,11335.1
scmail,s0d100p09_sub250_r05,144m40.060s,8680.06
scmail,s0d100p10_sub250_r01,58m8.175s,3488.18
scmail,s0d100p10_sub250_r02,228m15.343s,13695.3
scmail,s0d100p10_sub250_r03,49m24.308s,2964.31
scmail,s0d100p10_sub250_r04,46m51.715s,2811.72
scmail,s0d100p01_sub250_r05,119m53.440s,7193.44
scmail,s0d100p10_sub250_r05,77m29.336s,4649.34
