flag,rep,size,totaltime,totalnumiter
closed-form,s0d100p06_sub2500_r04,2500,205.78256323374808,119
closed-form,s0d100p01_sub5000_r01,5000,,128
closed-form,s0d100p06_sub2500_r05,2500,226.49091842211783,128
closed-form,s0d100p06_sub5000_r01,5000,,
closed-form,s0d100p06_sub5000_r02,5000,,
closed-form,s0d100p06_sub5000_r03,5000,,
closed-form,s0d100p06_sub5000_r04,5000,11323.07353320159,118
closed-form,s0d100p06_sub5000_r05,5000,12030.35881556198,130
closed-form,s0d100p06_sub7500_r01,7500,,
closed-form,s0d100p06_sub7500_r02,7500,,
closed-form,s0d100p06_sub7500_r03,7500,,
closed-form,s0d100p06_sub7500_r04,7500,,
closed-form,s0d100p01_sub5000_r02,5000,,118
closed-form,s0d100p06_sub7500_r05,7500,,
closed-form,s0d100p07_sub1250_r01,1250,112.6978201996535,122
closed-form,s0d100p07_sub1250_r02,1250,117.07578295655549,121
closed-form,s0d100p07_sub1250_r03,1250,133.71892862953246,134
closed-form,s0d100p07_sub1250_r04,1250,113.76791232824326,111
closed-form,s0d100p07_sub1250_r05,1250,134.73362340778112,134
closed-form,s0d100p07_sub2500_r01,2500,246.55028642900288,125
closed-form,s0d100p07_sub2500_r02,2500,240.130509480834,126
closed-form,s0d100p07_sub2500_r03,2500,241.86289865523577,122
closed-form,s0d100p07_sub2500_r04,2500,234.73511350154877,118
closed-form,s0d100p01_sub5000_r03,5000,,137
closed-form,s0d100p07_sub2500_r05,2500,273.8148703761399,139
closed-form,s0d100p07_sub5000_r01,5000,15654.134501598775,118
closed-form,s0d100p07_sub5000_r02,5000,14961.789178665727,122
closed-form,s0d100p07_sub5000_r03,5000,13493.663426203653,123
closed-form,s0d100p07_sub5000_r04,5000,12867.021780200303,117
closed-form,s0d100p07_sub5000_r05,5000,12905.303689740598,117
closed-form,s0d100p07_sub7500_r01,7500,,
closed-form,s0d100p07_sub7500_r02,7500,,
closed-form,s0d100p07_sub7500_r03,7500,,
closed-form,s0d100p07_sub7500_r04,7500,,
closed-form,s0d100p01_sub5000_r04,5000,,
closed-form,s0d100p07_sub7500_r05,7500,,
closed-form,s0d100p08_sub1250_r01,1250,126.82824516110122,130
closed-form,s0d100p08_sub1250_r02,1250,140.33940788544714,145
closed-form,s0d100p08_sub1250_r03,1250,118.18769622221589,125
closed-form,s0d100p08_sub1250_r04,1250,120.89046436175704,132
closed-form,s0d100p08_sub1250_r05,1250,201.22960009612143,140
closed-form,s0d100p08_sub2500_r01,2500,356.5005145724863,125
closed-form,s0d100p08_sub2500_r02,2500,384.9515344751999,131
closed-form,s0d100p08_sub2500_r03,2500,409.11056904587895,140
closed-form,s0d100p08_sub2500_r04,2500,395.82172955200076,137
closed-form,s0d100p01_sub5000_r05,5000,,
closed-form,s0d100p08_sub2500_r05,2500,336.9639374371618,117
closed-form,s0d100p08_sub5000_r01,5000,23016.507901187055,106
closed-form,s0d100p08_sub5000_r02,5000,31486.938271847554,117
closed-form,s0d100p08_sub5000_r03,5000,,
closed-form,s0d100p08_sub5000_r04,5000,,
closed-form,s0d100p08_sub5000_r05,5000,,
closed-form,s0d100p08_sub7500_r01,7500,,
closed-form,s0d100p08_sub7500_r02,7500,,
closed-form,s0d100p08_sub7500_r03,7500,,
closed-form,s0d100p08_sub7500_r04,7500,,
closed-form,s0d100p01_sub7500_r01,7500,,
closed-form,s0d100p08_sub7500_r05,7500,,
closed-form,s0d100p09_sub1250_r01,1250,170.5525498157367,117
closed-form,s0d100p09_sub1250_r02,1250,183.9392108079046,128
closed-form,s0d100p09_sub1250_r03,1250,187.53638950642198,132
