flag,rep,size,estep,mstep,llh
non-convex,s0d100p05_sub850_r05,850,0.606485,2.11328,21393.477315288746
non-convex,s0d100p06_sub1024_r01,1024,0.709162,3.06401,24922.61147637139
non-convex,s0d100p06_sub250_r01,250,0.195752,0.64166,7669.8574486785965
non-convex,s0d100p06_sub250_r02,250,0.186101,0.560137,7712.495608698732
non-convex,s0d100p06_sub250_r03,250,0.19053,0.54865,7747.8004911942035
non-convex,s0d100p01_sub450_r05,450,0.396211,1.07235,12615.979511088915
non-convex,s0d100p06_sub250_r04,250,0.191514,0.622604,7793.909508396512
non-convex,s0d100p06_sub250_r05,250,0.191812,0.562403,7604.126673751538
non-convex,s0d100p06_sub450_r01,450,0.342917,0.941909,12593.086488263974
non-convex,s0d100p06_sub450_r02,450,0.342613,1.2134,12563.412480707628
non-convex,s0d100p06_sub450_r03,450,0.338088,1.36728,12699.26571351811
non-convex,s0d100p06_sub450_r04,450,0.347362,1.05767,12589.881813018572
non-convex,s0d100p06_sub450_r05,450,0.33931,1.3306,12608.832936599481
non-convex,s0d100p06_sub650_r01,650,0.493202,1.41678,17018.228310666094
non-convex,s0d100p06_sub650_r02,650,0.476029,1.70612,16954.30732675031
non-convex,s0d100p06_sub650_r03,650,0.486661,1.94055,17087.967687985903
non-convex,s0d100p01_sub650_r01,650,0.562039,2.12143,17239.198982741433
non-convex,s0d100p06_sub650_r04,650,0.496048,2.08769,17017.907882048028
non-convex,s0d100p06_sub650_r05,650,0.48993,1.87073,17069.32328965958
non-convex,s0d100p06_sub850_r01,850,0.629991,2.51187,21377.78951095936
non-convex,s0d100p06_sub850_r02,850,0.627699,2.48201,21301.55939220172
non-convex,s0d100p06_sub850_r03,850,0.62983,2.69123,21339.695874210534
non-convex,s0d100p06_sub850_r04,850,0.577546,2.18611,21364.155648693108
non-convex,s0d100p06_sub850_r05,850,0.589054,2.32184,21363.221488897525
non-convex,s0d100p07_sub1024_r01,1024,0.695556,2.46955,25527.275238747214
non-convex,s0d100p07_sub250_r01,250,0.189821,0.568783,8017.24984102725
non-convex,s0d100p07_sub250_r02,250,0.182172,0.376109,7950.019985340906
non-convex,s0d100p01_sub650_r02,650,0.581862,1.91901,17158.39227116221
non-convex,s0d100p07_sub250_r03,250,0.189157,0.59306,8028.587551999457
non-convex,s0d100p07_sub250_r04,250,0.190075,0.622636,7889.063810552337
non-convex,s0d100p07_sub250_r05,250,0.187131,0.60955,7955.646138569253
non-convex,s0d100p07_sub450_r01,450,0.339548,1.10301,12973.82477222936
non-convex,s0d100p07_sub450_r02,450,0.338304,1.07891,13034.674143627793
non-convex,s0d100p07_sub450_r03,450,0.327553,1.08507,13008.952656056423
non-convex,s0d100p07_sub450_r04,450,0.30754,0.942031,12949.243724311002
non-convex,s0d100p07_sub450_r05,450,0.334612,1.27078,12960.837043225318
non-convex,s0d100p07_sub650_r01,650,0.451927,1.50829,17739.64095476186
non-convex,s0d100p07_sub650_r02,650,0.459508,2.02776,17536.036261480338
non-convex,s0d100p01_sub650_r03,650,0.577976,2.26423,17293.980627844307
non-convex,s0d100p07_sub650_r03,650,0.453222,1.98226,17576.15778505376
non-convex,s0d100p07_sub650_r04,650,0.459937,1.01024,17482.87148309073
non-convex,s0d100p07_sub650_r05,650,0.462928,1.64406,17618.73611074638
non-convex,s0d100p07_sub850_r01,850,0.592693,2.18827,21865.93936576172
non-convex,s0d100p07_sub850_r02,850,0.594829,1.99163,21911.06604633836
non-convex,s0d100p07_sub850_r03,850,0.576436,1.77748,21841.697822411526
non-convex,s0d100p07_sub850_r04,850,0.582121,1.94584,21846.584862994052
non-convex,s0d100p07_sub850_r05,850,0.606819,2.42863,21860.06081748459
non-convex,s0d100p08_sub1024_r01,1024,0.704902,2.49885,24755.774396645244
non-convex,s0d100p08_sub250_r01,250,0.19083,0.708289,7616.968223594497
non-convex,s0d100p01_sub650_r04,650,0.576103,1.98448,17354.885334533676
non-convex,s0d100p08_sub250_r02,250,0.190783,0.595011,7580.15166570935
non-convex,s0d100p08_sub250_r03,250,0.192547,0.611867,7542.991307545953
non-convex,s0d100p08_sub250_r04,250,0.18191,0.62253,7488.469424699312
non-convex,s0d100p08_sub250_r05,250,0.185257,0.518069,7528.256778069388
non-convex,s0d100p08_sub450_r01,450,0.314823,1.05312,12316.038221629353
non-convex,s0d100p08_sub450_r02,450,0.337262,1.20039,12426.866909403016
non-convex,s0d100p08_sub450_r03,450,0.338558,1.20812,12501.680447069486
non-convex,s0d100p08_sub450_r04,450,0.34298,0.962271,12235.540341035285
non-convex,s0d100p08_sub450_r05,450,0.332167,0.945497,12206.239668374044
non-convex,s0d100p08_sub650_r01,650,0.446769,1.38198,16854.181215373254
non-convex,s0d100p01_sub650_r05,650,0.56982,2.17561,17225.202975258006
non-convex,s0d100p08_sub650_r02,650,0.426984,1.47205,16911.44694487521
non-convex,s0d100p08_sub650_r03,650,0.462273,1.51855,16875.568015113906
non-convex,s0d100p08_sub650_r04,650,0.428121,1.8585,16900.0368055785
non-convex,s0d100p08_sub650_r05,650,0.44765,1.57962,16867.422946209583
non-convex,s0d100p08_sub850_r01,850,0.584626,2.42165,21075.422621650217
non-convex,s0d100p08_sub850_r02,850,0.569731,2.3913,21143.023941758303
non-convex,s0d100p08_sub850_r03,850,0.53293,2.35407,21134.243952368142
non-convex,s0d100p08_sub850_r04,850,0.550884,2.50407,21169.617743920164
non-convex,s0d100p08_sub850_r05,850,0.569283,2.63417,21156.147168062074
non-convex,s0d100p09_sub1024_r01,1024,0.640511,2.50218,26017.11553770862
non-convex,s0d100p01_sub850_r01,850,0.74605,3.39612,21622.04719323522
non-convex,s0d100p09_sub250_r01,250,0.180955,0.574829,7979.142101788559
non-convex,s0d100p09_sub250_r02,250,0.175367,0.588961,8072.342816376184
non-convex,s0d100p09_sub250_r03,250,0.181445,0.593541,8078.016010864106
non-convex,s0d100p09_sub250_r04,250,0.177412,0.636099,7959.02397842831
non-convex,s0d100p09_sub250_r05,250,0.183724,0.640327,7966.29285555571
non-convex,s0d100p09_sub450_r01,450,0.313372,1.07571,13114.088315780868
non-convex,s0d100p09_sub450_r02,450,0.301501,0.999413,13262.735633515524
non-convex,s0d100p09_sub450_r03,450,0.351608,1.39544,13229.618154372562
non-convex,s0d100p09_sub450_r04,450,0.341379,1.15562,13175.154176446089
non-convex,s0d100p09_sub450_r05,450,0.327943,1.11006,13193.34284670238
non-convex,s0d100p01_sub850_r02,850,0.741988,2.41843,21620.60055964238
non-convex,s0d100p09_sub650_r01,650,0.445972,1.63993,17827.07923370266
non-convex,s0d100p09_sub650_r02,650,0.402193,1.76195,17896.70097980998
non-convex,s0d100p09_sub650_r03,650,0.461977,1.88327,17902.936051909644
non-convex,s0d100p09_sub650_r04,650,0.487329,1.69084,17814.465761149095
non-convex,s0d100p09_sub650_r05,650,0.482022,1.51588,17897.18625981853
non-convex,s0d100p09_sub850_r01,850,0.555024,2.19018,22188.313549198927
non-convex,s0d100p09_sub850_r02,850,0.557881,2.63993,22303.574644450877
non-convex,s0d100p09_sub850_r03,850,0.583496,2.07149,22327.866444791624
non-convex,s0d100p09_sub850_r04,850,0.556682,2.28278,22358.716069363356
non-convex,s0d100p09_sub850_r05,850,0.596161,2.07337,22259.94639129957
non-convex,s0d100p01_sub850_r03,850,0.744264,2.49295,21574.04722326324
non-convex,s0d100p10_sub1024_r01,1024,0.637216,1.76631,26153.217095299657
non-convex,s0d100p10_sub250_r01,250,0.194246,0.569428,8093.800554770124
non-convex,s0d100p10_sub250_r02,250,0.177218,0.684305,7935.552594872028
non-convex,s0d100p10_sub250_r03,250,0.182071,0.612576,8216.204656024885
non-convex,s0d100p10_sub250_r04,250,0.187448,0.627907,8086.060948004348
non-convex,s0d100p10_sub250_r05,250,0.175476,0.619497,8145.940286452755
non-convex,s0d100p10_sub450_r01,450,0.327729,1.13089,13203.050242849284
non-convex,s0d100p10_sub450_r02,450,0.324743,1.19065,13363.546398653514
non-convex,s0d100p10_sub450_r03,450,0.345092,1.1328,12992.815570853565
non-convex,s0d100p10_sub450_r04,450,0.338988,1.18987,13404.821594021629
non-convex,s0d100p01_sub250_r01,250,0.212507,0.654845,7700.819657248077
non-convex,s0d100p01_sub850_r04,850,0.738821,2.39783,21740.939752528127
non-convex,s0d100p10_sub450_r05,450,0.338308,1.22174,13200.405636221427
non-convex,s0d100p10_sub650_r01,650,0.484624,1.74871,17989.185310362358
non-convex,s0d100p10_sub650_r02,650,0.440886,1.74234,18049.11065407772
non-convex,s0d100p10_sub650_r03,650,0.372122,1.17361,17974.143179376046
non-convex,s0d100p10_sub650_r04,650,0.372175,1.14783,18148.08786136429
non-convex,s0d100p10_sub650_r05,650,0.36899,1.08326,17934.772648338647
non-convex,s0d100p10_sub850_r01,850,0.48798,1.15538,22495.081277534613
non-convex,s0d100p10_sub850_r02,850,0.458896,1.25933,22423.406607480334
non-convex,s0d100p10_sub850_r03,850,0.484049,1.05154,22374.933973432013
non-convex,s0d100p10_sub850_r04,850,0.491362,1.40472,22477.86502737493
non-convex,s0d100p01_sub850_r05,850,0.743389,2.79935,21751.21997059376
non-convex,s0d100p10_sub850_r05,850,0.480869,2.01537,22474.45580758069
non-convex,s0d100p02_sub1024_r01,1024,0.850853,4.60904,27172.273015077953
non-convex,s0d100p02_sub250_r01,250,0.20735,0.866614,8601.959311618572
non-convex,s0d100p02_sub250_r02,250,0.215543,0.814794,8676.359752503546
