type model prior treeSize rep nMissing nSilenceTrue nSilenceEst nDropoutTrue nDropoutEst nCorrect accuracy
estTopo s25d75 08 sub250 r04 1669 244 122 1425 1547 1515 0.9077291791491912
trueTopo s25d75 08 sub250 r04 1669 244 126 1425 1543 1531 0.9173157579388855
estTopo s25d75 08 sub250 r05 1631 237 148 1394 1483 1464 0.897608828939301
trueTopo s25d75 08 sub250 r05 1631 237 137 1394 1494 1481 0.9080318822808093
estTopo s25d75 09 sub250 r01 1671 285 165 1386 1506 1513 0.9054458408138839
trueTopo s25d75 09 sub250 r01 1671 285 161 1386 1510 1519 0.9090365050867744
estTopo s25d75 09 sub250 r02 1738 318 180 1420 1558 1566 0.9010356731875719
trueTopo s25d75 09 sub250 r02 1738 318 192 1420 1546 1578 0.9079401611047181
estTopo s25d75 09 sub250 r03 1711 314 200 1397 1511 1543 0.9018118059614261
trueTopo s25d75 09 sub250 r03 1711 314 215 1397 1496 1566 0.9152542372881356
estTopo s25d75 09 sub250 r04 1751 307 165 1444 1586 1599 0.9131924614505996
trueTopo s25d75 09 sub250 r04 1751 307 185 1444 1566 1613 0.9211878926327812
estTopo s25d75 09 sub250 r05 1732 306 172 1426 1560 1554 0.8972286374133949
trueTopo s25d75 09 sub250 r05 1732 306 171 1426 1561 1577 0.9105080831408776
estTopo s25d75 10 sub250 r01 1812 411 322 1401 1490 1641 0.9056291390728477
trueTopo s25d75 10 sub250 r01 1812 411 322 1401 1490 1663 0.9177704194260485
estTopo s25d75 10 sub250 r02 1809 390 237 1419 1572 1618 0.8944168048645661
trueTopo s25d75 10 sub250 r02 1809 390 263 1419 1546 1650 0.912106135986733
estTopo s25d75 10 sub250 r03 1787 381 234 1406 1553 1598 0.8942361499720202
trueTopo s25d75 10 sub250 r03 1787 381 237 1406 1550 1619 0.9059876888640179
estTopo s25d75 10 sub250 r04 1793 402 266 1391 1527 1651 0.920803123257111
trueTopo s25d75 10 sub250 r04 1793 402 280 1391 1513 1659 0.9252649191299498
estTopo s25d75 10 sub250 r05 1802 388 241 1414 1561 1623 0.9006659267480577
trueTopo s25d75 10 sub250 r05 1802 388 231 1414 1571 1633 0.9062153163152054
estTopo s50d50 01 sub250 r01 1662 695 601 967 1061 1402 0.8435619735258725
trueTopo s50d50 01 sub250 r01 1662 695 576 967 1086 1421 0.8549939831528279
estTopo s50d50 01 sub250 r02 1643 729 605 914 1038 1325 0.8064516129032258
trueTopo s50d50 01 sub250 r02 1643 729 609 914 1034 1357 0.8259281801582471
estTopo s50d50 01 sub250 r03 1678 721 571 957 1107 1346 0.8021454112038141
trueTopo s50d50 01 sub250 r03 1678 721 624 957 1054 1391 0.8289630512514898
estTopo s50d50 01 sub250 r04 1702 728 639 974 1063 1389 0.8160987074030552
trueTopo s50d50 01 sub250 r04 1702 728 653 974 1049 1419 0.8337250293772033
estTopo s50d50 01 sub250 r05 1657 711 565 946 1092 1339 0.8080869040434521
trueTopo s50d50 01 sub250 r05 1657 711 567 946 1090 1371 0.8273989136994568
estTopo s50d50 02 sub250 r01 1786 882 794 904 992 1528 0.8555431131019037
trueTopo s50d50 02 sub250 r01 1786 882 783 904 1003 1547 0.8661814109742442
estTopo s50d50 02 sub250 r02 1797 867 737 930 1060 1503 0.8363939899833055
trueTopo s50d50 02 sub250 r02 1797 867 742 930 1055 1530 0.8514190317195326
estTopo s50d50 02 sub250 r03 1788 831 717 957 1071 1494 0.8355704697986577
trueTopo s50d50 02 sub250 r03 1788 831 712 957 1076 1535 0.8585011185682326
estTopo s50d50 02 sub250 r04 1812 858 759 954 1053 1537 0.8482339955849889
trueTopo s50d50 02 sub250 r04 1812 858 747 954 1065 1547 0.8537527593818984
estTopo s50d50 02 sub250 r05 1785 889 750 896 1035 1508 0.8448179271708683
trueTopo s50d50 02 sub250 r05 1785 889 769 896 1016 1537 0.8610644257703082
estTopo s50d50 03 sub250 r01 2030 1073 962 957 1068 1745 0.8596059113300493
trueTopo s50d50 03 sub250 r01 2030 1073 959 957 1071 1774 0.8738916256157635
estTopo s50d50 03 sub250 r02 2034 1068 950 966 1084 1744 0.8574237954768928
trueTopo s50d50 03 sub250 r02 2034 1068 963 966 1071 1757 0.8638151425762045
