sample nsites nodeID d2root dML dMP
3703_NT_T2 67 I15 0.906446 0.149276 0
3703_NT_T2 67 I151 1.99438 0.00500006 1
3703_NT_T2 67 I154 4.39979 2.40541 0
3703_NT_T2 67 I158 2.5325 0.538111 0
3703_NT_T2 67 I159 2.79492 0.262423 0
3703_NT_T2 67 I162 3.29096 0.49604 0
3703_NT_T2 67 I163 4.0522 0.76124 0
3703_NT_T2 67 I171 2.1504 1.49035 3
3703_NT_T2 67 I175 2.17245 0.0220535 0
3703_NT_T2 67 I179 2.82703 0.654579 1
3703_NT_T2 67 I187 4.72481 2.57442 0
3703_NT_T2 67 I196 0.738183 0.11624 0
3703_NT_T2 67 I2 0.0564004 0.0564004 2
3703_NT_T2 67 I20 2.42219 1.51575 0
3703_NT_T2 67 I200 1.4772 0.739018 0
3703_NT_T2 67 I205 1.6131 0.1359 0
3703_NT_T2 67 I206 2.8606 1.2475 0
3703_NT_T2 67 I212 4.52339 2.91029 0
3703_NT_T2 67 I22 2.47214 1.71497 1
3703_NT_T2 67 I227 1.1883 0.450119 0
3703_NT_T2 67 I228 1.1933 0.00500004 0
3703_NT_T2 67 I23 4.29106 1.81892 1
3703_NT_T2 67 I237 1.1983 0.00500067 2
3703_NT_T2 67 I241 4.83108 3.63278 0
3703_NT_T2 67 I242 5.16541 0.334329 0
3703_NT_T2 67 I246 2.91981 1.72651 0
3703_NT_T2 67 I249 4.21525 1.29544 0
3703_NT_T2 67 I25 4.76264 0.471586 0
3703_NT_T2 67 I252 4.02517 2.83687 1
3703_NT_T2 67 I257 4.03017 0.00500025 1
