model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p06_medium_sub250_r02,greedy,161180,5.32,0
k30M30p06_medium_sub250_r03,greedy,161812,5.32,0
k30M30p06_medium_sub250_r04,greedy,161572,5.32,0
k30M30p06_medium_sub250_r05,greedy,161756,5.32,0
k30M30p07_medium_sub250_r01,greedy,161472,5.32,0
k30M30p07_medium_sub250_r02,greedy,161228,5.32,0
k30M30p07_medium_sub250_r03,greedy,162040,5.32,0
k30M30p07_medium_sub250_r04,greedy,161896,5.32,0
k30M30p07_medium_sub250_r05,greedy,161444,5.32,0
k30M30p08_medium_sub250_r01,greedy,161324,5.32,0
k30M30p08_medium_sub250_r02,greedy,161736,5.32,0
k30M30p08_medium_sub250_r03,greedy,161892,5.32,0
k30M30p08_medium_sub250_r04,greedy,162660,5.32,0
k30M30p08_medium_sub250_r05,greedy,241896,3.47,1
k30M30p09_medium_sub250_r01,greedy,242336,3.47,1
k30M30p09_medium_sub250_r02,greedy,242832,3.47,1
k30M30p09_medium_sub250_r03,greedy,242952,3.47,1
k30M30p09_medium_sub250_r04,greedy,242372,4.17,1
k30M30p09_medium_sub250_r05,greedy,242228,3.47,1
k30M30p10_medium_sub250_r01,greedy,242952,3.47,1
k30M30p10_medium_sub250_r02,greedy,242800,3.47,1
k30M30p10_medium_sub250_r03,greedy,243180,3.47,1
k30M30p10_medium_sub250_r04,greedy,243568,3.47,1
k30M30p10_medium_sub250_r05,greedy,243268,3.47,1
k30M30p01_medium_sub500_r01,greedy,242472,4.17,1
k30M30p01_medium_sub500_r02,greedy,243492,4.17,1
k30M30p01_medium_sub500_r03,greedy,243468,4.17,1
k30M30p01_medium_sub500_r04,greedy,242616,4.86,1
k30M30p01_medium_sub500_r05,greedy,242568,4.86,1
k30M30p02_medium_sub500_r01,greedy,242720,4.86,1
k30M30p02_medium_sub500_r02,greedy,242848,4.86,1
k30M30p02_medium_sub500_r03,greedy,243008,4.17,1
k30M30p02_medium_sub500_r04,greedy,243016,4.17,1
k30M30p02_medium_sub500_r05,greedy,243380,4.86,1
k30M30p03_medium_sub500_r01,greedy,242904,4.86,1
k30M30p03_medium_sub500_r02,greedy,242656,4.17,1
k30M30p03_medium_sub500_r03,greedy,242532,4.17,1
k30M30p03_medium_sub500_r04,greedy,243264,4.86,1
k30M30p03_medium_sub500_r05,greedy,243232,4.86,1
k30M30p04_medium_sub500_r01,greedy,241992,4.86,1
k30M30p04_medium_sub500_r02,greedy,243280,4.17,1
k30M30p04_medium_sub500_r03,greedy,233840,8.54,0
k30M30p04_medium_sub500_r04,greedy,233388,8.54,0
k30M30p04_medium_sub500_r05,greedy,233316,8.54,0
k30M30p05_medium_sub500_r01,greedy,234292,8.54,0
k30M30p05_medium_sub500_r02,greedy,232856,8.54,0
k30M30p05_medium_sub500_r03,greedy,233628,8.54,0
k30M30p05_medium_sub500_r04,greedy,227.50M,8.54,0
k30M30p05_medium_sub500_r05,greedy,233132,8.54,0
k30M30p06_medium_sub500_r01,greedy,233424,8.54,0
k30M30p06_medium_sub500_r02,greedy,232748,8.54,0
k30M30p06_medium_sub500_r03,greedy,233308,8.54,0
k30M30p06_medium_sub500_r04,greedy,234308,8.54,0
k30M30p06_medium_sub500_r05,greedy,233004,8.54,0
k30M30p07_medium_sub500_r01,greedy,234036,8.54,0
k30M30p07_medium_sub500_r02,greedy,233860,8.54,0
